danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.75,0.772,10,-8.706,0,0.157,0.206,0,0.0748,0.561,139.98,audio_features,0V5c3isfSfyl7zQDtV9fAp,spotify:track:0V5c3isfSfyl7zQDtV9fAp,https://api.spotify.com/v1/tracks/0V5c3isfSfyl7zQDtV9fAp,https://api.spotify.com/v1/audio-analysis/0V5c3isfSfyl7zQDtV9fAp,224496,4
0.705,0.97,8,-3.28,1,0.259,0.241,0,0.289,0.766,99.97,audio_features,43kQu3PTBhCZCNhzaufAaX,spotify:track:43kQu3PTBhCZCNhzaufAaX,https://api.spotify.com/v1/tracks/43kQu3PTBhCZCNhzaufAaX,https://api.spotify.com/v1/audio-analysis/43kQu3PTBhCZCNhzaufAaX,194138,4
0.531,0.803,8,-3.929,0,0.339,0.325,0,0.368,0.414,97.51,audio_features,75bVc27bDSOAhMAL38cXpV,spotify:track:75bVc27bDSOAhMAL38cXpV,https://api.spotify.com/v1/tracks/75bVc27bDSOAhMAL38cXpV,https://api.spotify.com/v1/audio-analysis/75bVc27bDSOAhMAL38cXpV,191133,5
0.784,0.902,11,-5.308,0,0.0434,0.00308,0.000233,0.13,0.271,100.007,audio_features,481uvgYccF51OUrEzIbop2,spotify:track:481uvgYccF51OUrEzIbop2,https://api.spotify.com/v1/tracks/481uvgYccF51OUrEzIbop2,https://api.spotify.com/v1/audio-analysis/481uvgYccF51OUrEzIbop2,186041,4
0.751,0.72,6,-4.86,1,0.304,0.295,0,0.337,0.761,140.041,audio_features,6mKLhdZIMaHpZ9kbmq9SOS,spotify:track:6mKLhdZIMaHpZ9kbmq9SOS,https://api.spotify.com/v1/tracks/6mKLhdZIMaHpZ9kbmq9SOS,https://api.spotify.com/v1/audio-analysis/6mKLhdZIMaHpZ9kbmq9SOS,197674,4
0.816,0.667,7,-8.561,1,0.0758,0.235,0,0.0599,0.402,134.985,audio_features,0wSGClIhJMGkdamvWSTqX0,spotify:track:0wSGClIhJMGkdamvWSTqX0,https://api.spotify.com/v1/tracks/0wSGClIhJMGkdamvWSTqX0,https://api.spotify.com/v1/audio-analysis/0wSGClIhJMGkdamvWSTqX0,85333,3
0.878,0.6,6,-7.856,1,0.142,0.405,0,0.119,0.539,75.006,audio_features,0gQB2HvjH14xfWVmYEUafn,spotify:track:0gQB2HvjH14xfWVmYEUafn,https://api.spotify.com/v1/tracks/0gQB2HvjH14xfWVmYEUafn,https://api.spotify.com/v1/audio-analysis/0gQB2HvjH14xfWVmYEUafn,183891,4
0.754,0.475,1,-10.889,1,0.154,0.523,0,0.113,0.235,117.006,audio_features,1zYBkCM626hfZmjIS1QYiX,spotify:track:1zYBkCM626hfZmjIS1QYiX,https://api.spotify.com/v1/tracks/1zYBkCM626hfZmjIS1QYiX,https://api.spotify.com/v1/audio-analysis/1zYBkCM626hfZmjIS1QYiX,201384,4
0.895,0.479,11,-9.071,0,0.273,0.208,0,0.0902,0.719,146.049,audio_features,3UKwm5G898I1BvYt7uU4t0,spotify:track:3UKwm5G898I1BvYt7uU4t0,https://api.spotify.com/v1/tracks/3UKwm5G898I1BvYt7uU4t0,https://api.spotify.com/v1/audio-analysis/3UKwm5G898I1BvYt7uU4t0,134554,4
0.924,0.748,2,-3.645,1,0.188,0.174,0,0.207,0.381,121.063,audio_features,0br27hgKNVMLyXKS3qjLOu,spotify:track:0br27hgKNVMLyXKS3qjLOu,https://api.spotify.com/v1/tracks/0br27hgKNVMLyXKS3qjLOu,https://api.spotify.com/v1/audio-analysis/0br27hgKNVMLyXKS3qjLOu,209667,4
